Time;Temp1
00:00;14.9
00:10;13.8
00:20;13.8
00:30;14.2
00:40;14.0
00:50;13.5
01:00;13.7
01:10;13.2
01:20;13.6
01:30;13.8
01:40;14.7
01:50;14.7
02:00;14.7
02:10;14.6
02:20;14.1
02:30;14.5
02:40;14.5
02:50;14.9
03:00;14.4
03:10;14.3
03:20;14.3
03:30;14.2
03:40;13.8
03:50;13.9
04:00;13.2
04:10;14.1
04:20;13.6
04:30;13.4
04:40;13.5
04:50;13.5
05:00;13.3
05:10;13.8
05:20;14.2
05:30;14.0
05:40;14.2
05:50;13.8
06:00;14.2
06:10;14.2
06:20;14.2
06:30;14.4
06:40;14.9
06:50;15.1
07:00;15.1
07:10;15.3
07:20;15.3
07:30;15.3
07:40;15.2
07:50;15.4
08:00;15.8
08:10;16.0
08:20;16.3
08:30;16.5
08:40;16.7
08:50;16.6
09:00;16.5
09:10;16.8
09:20;16.9
09:30;16.9
09:40;17.2
09:50;17.4
10:00;17.4
10:10;17.6
10:20;17.9
10:30;18.0
10:40;18.0
10:50;18.2
11:00;18.1
11:10;17.9
11:20;17.8
11:30;17.8
11:40;18.1
11:50;18.0
12:00;18.2
12:10;18.3
12:20;18.4
12:30;18.6
12:40;18.6
12:50;18.8
13:00;18.8
13:10;18.9
13:20;18.9
13:30;18.9
13:40;18.7
13:50;19.0
14:00;19.6
14:10;19.6
14:20;19.8
14:30;20.1
14:40;20.0
14:50;20.3
15:00;20.3
15:10;20.5
15:20;20.3
15:30;20.0
15:40;20.0
15:50;19.7
16:00;19.1
16:10;19.1
16:20;18.9
16:30;18.9
16:40;18.6
16:50;18.5
17:00;18.4
17:10;18.3
17:20;18.0
17:30;17.8
17:40;17.6
17:50;17.2
18:00;17.2
18:10;17.0
18:20;16.7
18:30;16.5
18:40;16.4
18:50;16.4
19:00;16.4
19:10;16.0
19:20;15.6
19:30;15.6
19:40;15.4
19:50;15.3
20:00;15.2
20:10;14.6
20:20;14.5
20:30;14.6
20:40;14.2
20:50;13.9
21:00;13.0
21:10;13.3
21:20;13.8
21:30;13.9
21:40;14.4
21:50;14.4
22:00;14.5
22:10;14.1
22:20;14.1
22:30;13.6
22:40;13.7
22:50;14.1
23:00;14.2
23:10;14.0
23:20;14.1
23:30;13.9
23:40;14.0
23:50;14.3
