Time;Temp1;Temp2;Light;DigitalTemp;Pressure;Humidity
00:02;21.154;20.616;0.0;27.353;926.873;52.841
00:12;21.155;20.617;0.0;27.364;926.866;52.633
00:22;21.14;20.614;0.0;27.352;926.773;52.563
00:32;21.145;20.622;0.0;27.34;926.66;52.362
00:42;21.137;20.61;0.0;27.319;926.565;52.341
00:52;21.136;20.612;0.0;27.294;926.562;52.279
01:02;21.142;20.606;0.0;27.273;926.548;52.223
01:12;21.123;20.606;0.0;27.268;926.492;51.961
01:22;21.123;20.607;0.0;27.28;926.573;51.827
01:32;21.12;20.605;0.0;27.286;926.627;51.718
01:42;21.111;20.606;0.0;27.265;926.575;51.796
01:52;21.12;20.606;0.0;27.245;926.556;51.822
02:02;21.1;20.605;0.0;27.229;926.641;51.667
02:12;21.097;20.606;0.0;27.235;926.8;51.424
02:22;21.129;20.606;0.0;27.24;926.955;51.352
02:32;21.1;20.605;0.0;27.208;927.042;51.333
02:42;21.089;20.605;0.0;27.253;926.994;51.124
02:52;21.094;20.612;0.0;27.296;926.925;50.959
03:02;21.089;20.607;0.0;27.299;926.948;50.781
03:12;21.1;20.605;0.0;27.291;926.924;50.524
03:22;21.095;20.605;0.0;27.306;926.883;50.302
03:32;21.081;20.605;0.0;27.298;926.72;50.236
03:42;21.081;20.605;0.0;27.305;926.524;50.159
03:52;21.088;20.612;0.0;27.273;926.426;50.274
04:02;21.094;20.605;0.0;27.258;926.288;50.506
04:12;21.09;20.618;0.0;27.253;926.188;50.725
04:22;21.094;20.625;0.0;27.257;926.113;50.76
04:32;21.08;20.605;0.0;27.243;925.993;50.85
04:42;21.072;20.605;0.0;27.239;925.783;50.828
04:52;21.071;20.605;0.0;27.232;925.625;50.842
05:02;21.075;20.612;0.0;27.234;925.502;50.728
05:12;21.074;20.605;0.0;27.227;925.381;50.684
05:22;21.076;20.618;0.0;27.223;925.298;50.695
05:32;21.066;20.605;0.0;27.196;925.341;50.778
05:42;21.079;20.612;0.0;27.207;925.385;50.634
05:52;21.071;20.613;0.0;27.196;925.498;50.532
06:02;21.074;20.618;0.043;27.199;925.732;50.622
06:12;21.065;20.605;0.775;27.186;925.802;50.655
06:22;21.067;20.605;1.794;27.164;925.881;50.647
06:32;21.065;20.612;2.98;27.167;926.131;50.675
06:42;21.072;20.645;4.419;27.161;926.166;50.502
06:52;20.977;21.24;5.015;26.988;926.206;49.777
07:02;20.953;21.04;5.821;26.913;926.204;49.693
07:12;20.948;20.596;7.106;26.89;926.217;49.775
07:22;20.947;20.525;8.887;26.819;926.227;49.453
07:32;20.954;20.531;11.519;26.795;926.214;49.509
07:42;20.935;20.525;14.061;26.801;926.139;49.569
07:52;20.674;20.484;15.868;26.503;926.216;50.26
08:02;20.705;20.451;19.249;26.067;926.229;51.69
08:12;20.797;20.2;22.59;25.272;926.238;54.583
08:22;20.694;20.435;23.298;25.34;926.248;54.987
08:32;20.664;20.436;24.658;25.581;926.249;54.967
08:42;20.737;20.49;26.277;25.899;926.201;55.242
08:52;20.914;20.498;29.127;26.219;926.133;53.647
09:02;20.948;20.49;30.309;26.419;926.166;51.359
09:12;20.95;20.527;28.554;26.555;926.137;50.535
09:22;20.952;20.49;29.584;26.703;926.122;50.028
09:32;20.954;20.512;29.751;26.793;926.09;50.016
09:42;20.952;20.602;32.762;26.914;926.039;49.972
09:52;20.951;20.56;33.594;26.982;925.967;49.935
10:02;20.963;20.641;35.672;27.021;925.93;49.94
10:12;20.969;20.894;36.557;27.084;925.886;49.903
10:22;20.969;21.094;36.791;27.108;925.878;49.931
10:32;20.968;21.187;36.591;27.129;925.749;49.958
10:42;20.978;21.218;36.734;27.155;925.658;49.97
10:52;21.04;21.15;37.126;27.199;925.534;50.094
11:02;21.015;21.296;36.979;27.225;925.515;50.162
11:12;21.018;21.229;35.664;27.223;925.453;50.207
11:22;20.985;21.282;34.47;27.223;925.423;50.247
11:32;20.979;21.29;33.086;27.255;925.443;50.199
11:42;21.012;21.273;31.947;27.27;925.412;50.209
11:52;21.019;21.296;32.672;27.292;925.396;50.199
12:02;21.034;21.295;38.148;27.339;925.362;50.201
12:12;21.052;21.269;39.157;27.375;925.302;50.306
12:22;21.05;21.263;39.207;27.39;925.197;50.427
12:32;21.049;21.276;40.123;27.406;925.07;50.429
12:42;21.047;21.263;41.645;27.431;924.96;50.407
12:52;21.06;21.151;47.337;27.451;924.867;50.401
13:02;21.055;21.046;52.606;27.475;924.796;50.377
13:12;21.068;20.878;58.197;27.503;924.733;50.323
13:22;21.076;20.804;64.779;27.546;924.657;50.225
13:32;21.072;20.651;70.669;27.609;924.6;50.061
13:42;21.079;20.618;75.88;27.662;924.427;50.006
13:52;21.146;20.614;81.358;27.699;924.272;50.109
14:02;21.089;20.612;87.687;27.73;924.163;50.039
14:12;21.11;20.605;93.207;27.766;924.035;50.105
14:22;21.135;20.612;391.22;27.819;923.898;50.136
14:32;21.116;20.605;467.687;27.815;923.779;50.248
14:42;21.117;20.605;525.149;27.885;923.689;50.205
14:52;21.154;20.612;583.179;27.943;923.557;50.172
15:02;21.163;20.606;631.519;28.001;923.421;50.093
15:12;21.166;20.608;684.577;28.094;923.247;49.92
15:22;21.465;20.627;733.036;28.164;923.107;50.026
15:32;21.168;20.615;793.447;28.216;922.99;49.988
15:42;21.176;20.631;840.065;28.251;922.903;49.936
15:52;21.179;20.679;666.636;28.231;922.858;49.98
16:02;21.177;20.702;818.761;28.274;922.731;49.792
16:12;21.755;20.716;902.272;28.335;922.649;49.597
16:22;21.184;20.72;887.567;28.378;922.507;49.473
16:32;22.92;20.731;953.988;28.419;922.436;49.41
16:42;21.764;20.725;790.001;28.381;922.409;49.588
16:52;22.619;20.737;867.711;28.428;922.399;49.488
17:02;21.189;20.724;753.171;28.423;922.261;49.383
17:12;27.808;20.813;460.25;28.391;922.075;49.834
17:22;24.635;20.841;291.846;28.347;921.891;50.12
17:32;26.688;20.92;224.703;28.355;921.722;51.029
17:42;31.164;20.944;192.426;28.349;921.579;52.351
17:52;35.14;20.944;164.162;28.344;921.408;53.094
18:02;35.291;20.951;136.027;28.321;921.246;52.712
18:12;30.336;20.951;112.174;28.257;921.183;52.66
18:22;22.073;20.94;48.844;28.205;921.163;52.985
18:32;22.944;20.944;22.838;28.157;921.19;52.959
18:42;22.357;20.933;21.612;28.132;921.235;52.961
18:52;21.493;20.918;20.076;28.086;921.319;53.007
19:02;22.062;20.833;19.194;28.058;921.303;53.008
19:12;22.349;20.922;20.37;28.055;921.178;52.925
19:22;28.131;20.948;21.58;28.061;921.117;52.911
19:40;28.697;20.951;329.167;28.073;920.984;52.751
19:50;28.21;20.951;278.487;28.089;920.95;52.566
20:00;26.416;20.951;218.926;28.062;920.875;52.447
20:10;26.075;20.951;167.175;28.041;920.803;52.501
20:20;24.077;20.948;125.063;28.012;920.68;52.544
20:30;24.968;20.944;28.152;27.985;920.457;52.715
20:40;27.499;20.951;3.389;28.02;920.21;52.702
20:50;27.565;20.951;1.541;28.069;920.035;52.017
21:00;26.652;20.951;0.31;28.054;919.964;51.854
21:10;25.795;20.9;0.0;28.042;920.011;51.431
21:20;26.134;20.951;0.0;28.004;920.304;50.537
21:30;26.652;20.951;6.283;27.997;920.495;50.469
21:40;41.104;20.951;28.692;28.052;920.565;52.031
21:50;23.541;20.951;0.0;28.055;920.572;52.957
22:10;20.724;20.49;7.231;25.827;924.713;52.876
