Time;Temp1
00:00;4.4
00:10;4.4
00:20;4.3
00:30;4.1
00:40;4.0
00:50;3.8
01:00;3.8
01:10;3.8
01:20;3.7
01:30;3.7
01:40;3.5
01:50;3.4
02:00;3.4
02:10;3.3
02:20;3.4
02:30;3.2
02:40;3.0
02:50;2.9
03:00;3.0
03:10;3.0
03:20;3.0
03:30;3.1
03:40;3.1
03:50;3.1
04:00;3.1
04:10;3.0
04:20;3.0
04:30;3.0
04:40;3.0
04:50;3.0
05:00;3.2
05:10;3.1
05:20;3.1
05:30;3.1
05:40;3.1
05:50;3.0
06:00;2.9
06:10;2.8
06:20;2.8
06:30;2.8
06:40;2.8
06:50;2.3
07:00;1.5
07:10;1.8
07:20;2.2
07:30;2.2
07:40;1.3
07:50;0.3
08:00;0.1
08:10;0.1
08:20;0.2
08:30;0.4
08:40;0.6
08:50;0.8
09:00;1.0
09:10;-0.1
09:20;-1.2
09:30;-1.3
09:40;-1.1
09:50;-1.0
10:00;-1.0
10:10;-0.9
10:20;-0.5
10:30;-0.1
10:40;0.1
10:50;0.1
11:00;0.2
11:10;0.3
11:20;0.4
11:30;0.2
11:40;-0.2
11:50;-0.4
12:00;-0.8
12:10;-2.0
12:20;-2.0
12:30;-2.0
12:40;-2.0
12:50;-2.3
13:00;-2.4
13:10;-2.3
13:20;-1.9
13:30;-1.6
13:40;-1.4
13:50;-1.2
14:00;-1.0
14:10;-0.8
14:20;-0.7
14:30;-0.3
14:40;0.0
14:50;-0.3
15:00;-0.3
15:10;-0.6
15:20;-0.6
15:30;-0.3
15:40;0.0
15:50;0.1
16:00;-0.0
16:10;-0.1
16:20;-0.1
16:30;0.0
16:40;0.0
16:50;-0.3
17:00;-0.4
17:10;-0.4
17:20;-0.5
17:30;-0.2
17:40;-0.2
17:50;-0.1
18:00;-0.1
18:10;-0.0
18:20;0.0
18:30;0.0
18:40;0.0
18:50;-0.0
19:00;0.0
19:10;0.0
19:20;-0.1
19:30;-0.1
19:40;-0.2
19:50;-0.2
20:00;-0.2
20:10;-0.2
20:20;-0.1
20:30;-0.1
20:40;0.0
20:50;0.0
21:00;0.1
21:10;0.1
21:20;0.1
21:30;0.1
21:40;0.2
21:50;0.1
22:00;0.1
22:10;0.1
22:20;0.1
22:30;0.1
22:40;0.2
22:50;0.2
23:00;0.1
23:10;0.1
23:20;0.1
23:30;0.0
23:40;-0.0
23:50;0.0
