Time;Temp1;Temp2;Light;DigitalTemp;Pressure;Humidity;Rain
10:50;20.444;17.615;4.691;24.156;924.483;53.715;0.0
11:00;20.475;17.632;4.95;24.36;924.497;53.442;0.0
