Time;Temp1
00:00;12.2
00:10;12.3
00:20;12.2
00:30;11.9
00:40;11.8
00:50;11.7
01:00;11.7
01:10;11.7
01:20;11.6
01:30;11.5
01:40;11.5
01:50;11.6
02:00;11.6
02:10;11.6
02:20;11.5
02:30;11.4
02:40;11.0
02:50;10.8
03:00;10.7
03:10;10.6
03:20;10.5
03:30;10.4
03:40;10.4
03:50;10.4
04:00;10.4
04:10;10.5
04:20;10.6
04:30;10.7
04:40;10.7
04:50;10.8
05:00;10.9
05:10;11.0
05:20;11.0
05:30;11.1
05:40;11.0
05:50;11.0
06:00;10.9
06:10;10.9
06:20;10.9
06:30;10.8
06:40;10.6
06:50;10.2
07:00;9.9
07:10;10.0
07:20;10.2
07:30;10.3
07:40;10.3
07:50;10.3
08:00;10.3
08:10;10.3
08:20;10.4
08:30;10.4
08:40;10.0
08:50;9.0
09:00;9.1
09:10;9.4
09:20;9.6
09:30;9.6
09:40;9.4
09:50;9.4
10:00;9.3
10:10;8.1
10:20;7.7
10:30;7.8
10:40;7.9
10:50;8.1
11:00;8.3
11:10;8.5
11:20;8.7
11:30;8.7
11:40;8.6
11:50;8.6
12:00;8.7
12:10;8.8
12:20;9.0
12:30;9.2
12:40;9.1
12:50;9.2
13:00;9.1
13:10;9.2
13:20;9.2
13:30;9.1
13:40;9.1
13:50;9.2
14:00;9.2
14:10;9.2
14:20;9.2
14:30;9.2
14:40;9.2
14:50;9.5
15:00;9.5
15:10;9.4
15:20;9.3
15:30;9.3
15:40;9.3
15:50;9.3
16:00;9.3
16:10;9.4
16:20;9.3
16:30;9.2
16:40;9.0
16:50;8.7
17:00;8.5
17:10;8.3
17:20;8.3
17:30;8.2
17:40;8.1
17:50;8.1
18:00;8.1
18:10;8.1
18:20;8.1
18:30;8.2
18:40;8.2
18:50;8.1
19:00;8.1
19:10;7.9
19:20;7.9
19:30;7.8
19:40;7.8
19:50;7.8
20:00;7.7
20:10;7.7
20:20;7.7
20:30;7.7
20:40;7.8
20:50;7.8
21:00;7.9
21:10;7.9
21:20;7.8
21:30;7.8
21:40;7.7
21:50;7.3
22:00;7.0
22:10;7.0
22:20;6.8
22:30;6.8
22:40;6.7
22:50;6.7
23:00;6.7
23:10;6.6
23:20;6.6
23:30;6.7
23:40;6.6
23:50;6.5
